Convo_ID ,Opening Query,Answer ,Sources ,Comments 
T-1,"What are the U.S. federal income tax implications of contributing appreciated assets to a newly formed limited liability company (LLC) that will be treated as a partnership for tax purposes, particularly with respect to Section 704(c) and the disguised sale rules?","When a partner contributes appreciated property to a partnership (including an LLC taxed as a partnership), Section 704(c) requires that built-in gain be allocated to the contributing partner upon sale or depreciation. Additionally, if within two years the partnership distributes property (or cash) to the contributor, the disguised sale rules under §707(a)(2)(B) may treat the transaction as a sale rather than a contribution, triggering gain recognition.","IRC §§ 704(c), 707(a)(2)(B); Treas. Reg. §1.707-3",
T-2,how are the constructive ownership rules apply to tokenized financial instruments?,"The constructive ownership rules (IRC §1260) apply when the holder has a financial instrument that mimics ownership of an underlying asset, including notional principal contracts and swaps. Tokenized financial instruments may fall under these rules if they effectively track the value of a publicly traded partnership or regulated investment company.",IRC §1260; Notice 2004-54,
T-3,"How is income from the exercise of nonqualified stock options (NQSOs) taxed, and what are the implications if the shares are sold in the same tax year?","NQSO exercise generates ordinary income equal to the spread (FMV - strike price) at exercise. If shares are sold in the same year, there's no capital gain holding period benefit; gain or loss from sale is usually short-term and must be reported separately","IRC §§ 83, 61; Reg. §1.83-7",
T-4,What are the tax considerations for converting a U.S. corporation into an LLC taxed as a partnership?,"Treated as a liquidation for tax purposes, triggering corporate-level gain under IRC §336. Shareholders recognize gain under §331. Assets transfer to LLC with stepped-up basis, and liabilities must be considered in basis calculations.","IRC §§ 331, 336, 752",
T-5,"In a corporate acquisition structured as a tax-free reorganization under §368(a)(1)(A), what limitations apply under §382 and §383 to the use of the target corporation’s net operating losses (NOLs) and tax credits post-closing","Under §382, NOLs may be limited if there is an ownership change (generally >50% ownership shift). Section §383 applies similar limits to general business credits. Limitations are based on the FMV of target stock pre-transaction.","IRC §§ 368, 382, 383",
T-6,"If a client creates an irrevocable grantor trust and funds it with closely held business interests, how does the use of a Crummey withdrawal power by multiple beneficiaries impact the allocation of annual gift tax exclusion?","Use of Crummey powers by multiple beneficiaries allows annual gift tax exclusion per beneficiary (up to $18,000 in 2024). However, the business interest must be assignable and the withdrawal right must be meaningful to qualify.","IRC §§ 2503(b), 2511; Crummey v. Commissioner, 397 F.2d 82",
T-7,"Charter boat and owned through a disregarded entity. Use is personal, but chartering to third-parties, bonus depreciable eligibility. (Use outside of US)","If the charter boat is primarily for personal use, bonus depreciation under §168(k) is not available. For mixed-use, the taxpayer must show predominant business use (>50%). Foreign use may limit eligibility further under §280F.","IRC §§ 168(k), 280F, 183",
T-8,How does BEAT impact a multinationals investment in offshore wind projects in the US?,The Base Erosion and Anti-Abuse Tax (BEAT) under §59A applies to large corporations making deductible payments to foreign affiliates. Investment in U.S.-based offshore wind projects using cross-border debt or services may trigger BEAT if not structured properly.,IRC §59A; IRS Notice 2018-28,
T-9,"If a shareholder in an S corporation provides a loan to the company, under what circumstances can they increase their stock basis versus loan basis, and how does this affect the deductibility of losses passed through on their K-1?",A shareholder can increase stock basis by capital contributions and loan basis by direct loans. Losses from K-1 are deductible to the extent of basis. Repayments reduce basis. Back-to-back loans or indirect financing may not qualify.,"IRC §1366(d), Reg. §1.1366-2",
T-10,Can the IRS successfully recharacterize partnership debt allocations under IRC §752 as lacking economic substance when the allocations are supported by non-recourse carveouts and deficit restoration obligations?,"The IRS can challenge debt allocations lacking economic substance under §752 even if supported by deficit restoration obligations (DROs) or non-recourse carveouts, especially if risk is illusory.",IRC §752; Reg. §1.752-2; Canal Corp. v. Commissioner,
T-11,"In a cross-border triangular reorganization involving a foreign acquiring subsidiary using parent stock as consideration, how has the IRS interpreted the 'substantially all' asset requirement","In a triangular reorg using parent stock (e.g., Type A forward), the IRS looks at the FMV of transferred assets. ""Substantially all"" generally means ≥90% of FMV of net assets and ≥70% of FMV of gross assets.",Rev. Proc. 77-37; IRC §368(a)(1)(A),
T-12,"In a taxable acquisition of a U.S. target corporation by a foreign buyer, what are the key tax considerations in structuring the purchase as a stock deal versus an asset deal, particularly with respect to the treatment of goodwill under §197,","An asset deal allows step-up in basis, including amortizable §197 intangibles (goodwill), but may trigger gain recognition and state-level tax. A stock deal is simpler but offers no basis step-up. FIRPTA rules may apply.","IRC §§ 197, 338, 1060",
T-13,"Does the receipt of boot in a reorganization under IRC § 368(a)(1)(A) cause gain recognition under § 356 even if the transaction otherwise qualifies as tax-free,","Yes. §356 requires gain recognition to the extent of boot received, even in an otherwise tax-free §368 reorg. However, loss is not recognized.","IRC §§ 356, 368; Reg. §1.356-1",
T-14,Section 267 related party rules for partnerships,"Related party losses are disallowed under §267. Special rules apply to controlled partnerships and constructive ownership among partners, corporations, and family members.",IRC §267; Reg. §1.267(b)-1,
T-15,"what are the key considerations under the anti-inversion rules of §7874, and how can the transaction be structured to avoid the U.S. entity being treated as a surrogate foreign corporation","To avoid being classified as a surrogate foreign corporation, the foreign acquirer must have >60% ownership not tied to U.S. shareholders, and the foreign entity must have substantial business activities outside the U.S.",IRC §7874; Reg. §1.7874-3,
